Key,English,Russian,German,French,Brazil
hint_lv1,Go to the door to beat the level.,"Подойдите к двери, чтобы пройти уровень.","Gehen Sie zur Tür, um das Level zu meistern.",Allez à la porte pour terminer le niveau.,Vá até a porta para vencer o nível.
hint_lv2,Push the box and jump onto it.,Толкните коробку и запрыгните на нее.,Schieben Sie die Kiste und springen Sie darauf.,Poussez la boîte et sautez dessus.,Empurre a caixa e pule nela.
hint_lv3,Pickup the key to unlock the door.,"Поднимите ключ, чтобы открыть дверь.","Nehmen Sie den Schlüssel, um die Tür aufzuschließen.",Récupérez la clé pour déverrouiller la porte.,Pegue a chave para destrancar a porta.
hint_lv4,"Remove the pins around the door, leaving one on the lower left of it. The door will swing to the left if done correctly.","Удалите штыри вокруг двери, оставив один в левом нижнем углу. Дверь повернется влево, если все сделано правильно.",Entfernen Sie die Stifte rund um die Tür und lassen Sie einen unten links an der Tür übrig. Bei korrekter Ausführung schwenkt die Tür nach links.,"Retirez les goupilles autour de la porte, en laissant une en bas à gauche de celle-ci. La porte s'ouvrira vers la gauche si cela est fait correctement.","Remova os pinos ao redor da porta, deixando um no canto inferior esquerdo. A porta irá girar para a esquerda se feita corretamente."
hint_lv5,Knock on the door until it opens.,"Стучите в дверь, пока она не откроется.","Klopfen Sie an die Tür, bis sie sich öffnet.",Frappez à la porte jusqu'à ce qu'elle s'ouvre.,Bata na porta até que ela abra.
hint_lv6,"Tap on the balloons to pop it, stopping the door from floating away.","Нажмите на воздушные шары, чтобы лопнуть и не дать двери улететь.","Tippen Sie auf die Ballons, um sie platzen zu lassen und zu verhindern, dass die Tür wegschwebt.","Appuyez sur les ballons pour les faire éclater, empêchant ainsi la porte de flotter.","Toque nos balões para estourá-los, evitando que a porta flutue."
hint_lv7,Press and hold on the door to stop it from running.,"Нажмите и удерживайте дверь, чтобы остановить ее движение.","Halten Sie die Tür gedrückt, um den Betrieb zu stoppen.",Appuyez et maintenez la porte pour l'empêcher de fonctionner.,Pressione e segure a porta para impedi-la de funcionar.
hint_lv8,Drag the ground under Potato horizontally.,Перетащите землю под Картофелем горизонтально.,Ziehen Sie den Boden horizontal unter die Kartoffel.,Faites glisser le sol sous Potato horizontalement.,Arraste o chão sob a Batata horizontalmente.
hint_lv9,Pausing will stop the balloons.,Пауза остановит воздушные шары.,Durch Anhalten werden die Ballons gestoppt.,La pause arrêtera les ballons.,Pausar irá parar os balões.
hint_lv10,You can jump non-stop.,Можно прыгать без остановки.,Sie können ohne Unterbrechung springen.,Vous pouvez sauter sans arrêt.,Você pode pular sem parar.
