Key,English,Russian,German,French,Brazil,ChineseMainland,ChineseHongKong,ChineseTaiwan,SouthKorea,Japan,Malaysia,Indonesia,Turkey,Philippines,Vietnam
tagline_lv1,Reach the door to win.,"Доберитесь до двери, чтобы победить.","Erreichen Sie die Tür, um zu gewinnen.",Atteignez la porte pour gagner.,Alcance a porta para vencer.,到达门口即可获胜。,到達門口即可獲勝。,到達門口即可獲勝。,승리하려면 문에 도달하세요.,勝利するにはドアに到達してください。,Capai pintu untuk menang.,Capai pintu untuk menang.,Kazanmak için kapıya ulaşın.,Umabot sa pinto para manalo.,Chạm vào cửa để thắng!
tagline_lv2,Try jumping on boxes!,Попробуйте прыгать по ящикам!,"Versuchen Sie, auf Kisten zu springen!",Essayez de sauter sur des boîtes !,Experimente pular nas caixas!,尝试跳上盒子！,試著跳上盒子！,試著跳上盒子！,상자 위로 점프해 보세요!,箱の上でジャンプしてみよう！,Cuba lompat pada kotak!,Cobalah melompat ke atas kotak!,Kutuların üzerine atlamayı deneyin!,Subukang tumalon sa mga kahon!,Hãy thử nhảy lên hộp!
tagline_lv3,Unlock the door!,Открой дверь!,Öffne die Tür!,Déverrouillez la porte !,Destranque a porta!,开门！,開門！,開門！,문을 열어라!,ドアのロックを解除してください！,Buka kunci pintu!,Buka kunci pintunya!,Kapıyı aç!,I-unlock ang pinto!,Mở khóa!
tagline_lv4,Tap to unpin.,"Нажмите, чтобы открепить.",Zum Lösen antippen.,Appuyez pour désépingler.,Toque para liberar.,点击即可取消固定。,點擊即可取消固定。,點擊即可取消固定。,고정 해제하려면 탭하세요.,タップして固定を解除します。,Ketik untuk menyahsemat.,Ketuk untuk melepas pin.,Sabitlemeyi kaldırmak için dokunun.,I-tap para i-unpin.,Chạm để bỏ ghim.
tagline_lv5,Be polite.,Будьте вежливы.,Seien Sie höflich.,Soyez poli.,Ser bem educado.,要有礼貌。,要有禮貌。,要有禮貌。,예의바르게 행동하세요.,礼儀正しくしてください。,Bersopan santun.,Bersikaplah sopan.,Kibar ol.,Maging magalang.,Phép lịch sự.
tagline_lv6,The door is flying away!,Дверь улетает!,Die Tür fliegt weg!,La porte s'envole !,A porta está voando!,门飞走了！,門飛走了！,門飛走了！,문이 날아가고 있어요!,ドアが飛んでいく！,Pintu terbang jauh!,Pintunya terbang menjauh!,Kapı uçup gidiyor!,Lumilipad na ang pinto!,Cánh cửa đang bay đi!
tagline_lv7,Something is wrong with this door...,Что-то не так с этой дверью...,Mit dieser Tür stimmt etwas nicht...,Quelque chose ne va pas avec cette porte...,Tem alguma coisa errada com essa porta...,这扇门有问题……,這扇門有問題…,這扇門有問題…,이 문에 뭔가 문제가 있어요...,このドアは何かがおかしい...,Ada yang tidak kena dengan pintu ini...,Ada yang salah dengan pintu ini...,Bu kapıda bir sorun var...,May mali sa pintong ito...,Có gì đó không ổn với cánh cửa này...
tagline_lv8,Move Grounds.,Переместить территорию.,Gelände verschieben.,Déplacez les terrains.,Mova o terreno.,移动地面。,移動地面。,移動地面。,부지를 이동합니다.,グラウンドを移動します。,Pindah Tanah.,Pindahkan Tempat.,Zeminleri Taşı.,Ilipat ang Grounds.,Di chuyển mặt đất.
tagline_lv9,The door is flying again!,Дверь снова летает!,Die Tür fliegt wieder!,La porte vole à nouveau !,A porta está voando de novo!,门又飞了！,門又飛了！,門又飛了！,문이 다시 날아갑니다!,またドアが飛んでる！,Pintu terbang lagi!,Pintunya terbang lagi!,Kapı yine uçuyor!,Lumilipad na naman ang pinto!,Cánh cửa lại bay!
tagline_lv10,If once isn't enough then try again.,"Если одного раза недостаточно, попробуйте еще раз.","Wenn einmal nicht ausreicht, versuchen Sie es erneut.","Si une fois ne suffit pas, réessayez.","Se uma vez não for suficiente, tente novamente.",如果一次还不够，请再试一次。,如果一次還不夠，請再試一次。,如果一次還不夠，請再試一次。,한 번으로 충분하지 않다면 다시 시도하세요.,一度では不十分な場合は、もう一度試してください。,"Jika sekali tidak mencukupi, cuba lagi.",Jika sekali saja tidak cukup maka coba lagi.,Bir kez yeterli olmazsa tekrar deneyin.,"Kung hindi sapat ang isang beses, subukang muli.",Nếu một lần không đủ thì hãy thử lại.
tagline_lv11,You can't see it but it's there.,"Вы не можете этого видеть, но оно есть.","Man kann es nicht sehen, aber es ist da.",Vous ne pouvez pas le voir mais il est là.,"Você não pode ver, mas está lá.",你看不到它，但它就在那里。,你看不到它，但它就在那裡。,你看不到它，但它就在那裡。,당신은 그것을 볼 수 없지만 거기에 있습니다.,目には見えませんが、そこにあります。,Anda tidak dapat melihatnya tetapi ia ada di sana.,Anda tidak dapat melihatnya tetapi itu ada di sana.,Onu göremiyorsun ama orada.,Hindi mo nakikita pero nandoon.,"Không nhìn thấy được, nhưng chạm vào được."
